Name,Epoch Date Close Approach,Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles),Jupiter Tisserand Invariant,Epoch Osculation,Semi Major Axis,Asc Node Longitude,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,approach_year,approach_month,approach_day,Orbital Period,Orbit Uncertainity,Hazardous
3703080,788947200000,Very Slow,22017.0038,13680.50994,0.4194825299,163.1787109,62753692,38993336,,,1.407011303,314.3739134,57.25746988,2.005763673,,264.8375333,0.590551388,,1,1,Low,Medium,True
3723955,,Slow,65210.34609,40519.17311,,,57298148,35603420,,2458000.5,1.107775954,136.7172417,,1.497352293,2457794.969,173.741112,0.8453297876,1995,1,1,Low,,False
2446862,789552000000,,27326.56018,16979.6618,0.0509560159,19.82188988,7622911.5,4736657.5,4.557,2458000.5,1.458823814,259.4759789,248.4150381,1.966856672,2458120.468,,,1995,,8,Medium,,True
3092506,790156800000,Very Slow,40225.94819,24994.83986,,,,26522368,5.093,2458000.5,,57.17326613,,1.527904212,2457902.337,68.74100662,0.7002771964,1995,,15,Low,Medium,False
3514799,790156800000,Very Slow,35426.99179,,0.4078321707,158.6467133,61010824,,5.154,,1.225614737,84.62930679,158.2635961,,2457814.455,,,,,15,,Low,True
3671135,,,38911.83825,24178.30305,0.3927847844,,,36511628,4.724,2458000.5,1.32353218,178.9719508,,2.069264572,,354.2373683,,1995,1,,Low,Low,False
2495323,,Very Slow,38911.82972,,0.392783196,152.7926636,,36511480,4.724,2458000.5,1.323532162,178.9719526,198.1459599,,2458009.403,354.2373962,0.6472951085,1995,1,15,Low,Low,False
2153315,790761600000,Fast,87918.78238,54629.31231,0.1291791611,50.25069427,19324928,,4.921,2458000.5,,112.5629844,288.3746511,1.794044544,,186.7769323,,1995,1,22,Low,Low,False
2162463,790761600000,,62545.62181,,0.3582829267,,53598364,,5.386,2458000.5,1.145550849,80.21113209,353.4223941,1.418397017,,,,1995,1,22,,Low,False
2306383,790761600000,Slow,46438.595,28855.13699,0.1518057418,59.05243301,22709816,14111226,,2458000.5,0.8761253668,,,,2457900.77,,1.201862243,1995,1,22,Low,Low,True
3444370,,Slow,80716.91873,50154.35431,0.2010399884,78.2045517,30075154,18687834,7.033,2458000.5,0.8138767249,117.111224,220.9403708,1.201135123,2457996.36,5.556806413,1.342351124,1995,1,22,,Medium,False
3448992,790761600000,Slow,62188.60127,38641.57838,0.4310155871,167.6650543,64479012,,,2458000.5,1.240789318,161.9335186,,,,46.68495945,,1995,1,22,Low,Medium,False
3611400,790761600000,Slow,,27107.89491,0.3598014121,139.9627533,53825524,33445630,6.384,2458000.5,,20.49127087,128.4631299,1.234290608,,66.77697674,,,1,22,,,False
2162854,792230400000,Very Slow,38987.73464,24225.46212,0.4306559914,,64425220,40031976,4.862,2458000.5,,122.4368332,,1.52051299,2457976.985,15.23187455,,1995,,8,Low,,False
3446396,792230400000,,142579.1805,88593.15801,0.3009631412,117.0746613,45023444,27976272,,,,163.2099234,199.3714587,3.690061555,,37.51725738,0.3530253455,1995,,8,Medium,,False
3764806,792230400000,Fast,,56395.13143,0.4959739922,,74196656,46103664,6.89,2458000.5,,,41.64832248,1.207501211,,96.60735473,1.285826904,1995,2,8,Low,,False
3314405,,Very Slow,11120.41414,,0.2388244997,,35727636,22200124,3.788,2458000.5,1.95815426,,34.30691815,2.697454147,,,0.3596944372,1995,2,15,Medium,Low,False
3426410,792835200000,,,44781.04228,0.4780869949,185.9758453,,44440964,6.469,2458000.5,0.907864593,,7.392326564,,2457968.757,36.16756329,1.139390137,1995,,15,,Low,False
3666785,,Very Slow,30694.75504,,0.4612592433,,69003400,42876724,5.372,2458000.5,,28.85202161,271.6146744,1.469502839,2457770.913,,0.7822865028,1995,2,15,Low,Low,False
3702321,792835200000,,28510.28656,17715.18334,,41.72844696,,9971469,6.519,2458000.5,0.9137303164,177.8573023,90.64125634,1.052083571,,203.9869516,,1995,,15,Low,,False
3719196,792835200000,,16759.72294,10413.84007,,,38220508,23749122,6.36,2458000.5,,229.0663218,,1.100138258,2458042.506,314.5094251,1.082952201,1995,2,15,Low,Medium,False
3447920,,,7791.742256,4841.485626,0.4228501583,164.4887085,63257484,39306380,3.753,2458000.5,1.978471309,142.2597511,38.66044218,2.78463971,2457957.835,15.11056876,0.3541680978,1995,2,15,Medium,,False
3005973,793440000000,Fast,102308.2353,63570.35879,,18.88259506,7261686.5,,6.152,2453548.5,0.9067337425,,322.3904958,1.694158469,2453597.575,303.9792986,1.14152232,,2,22,Low,,True
3660308,,,37985.47118,23602.69458,0.0197382264,7.678170204,2952796.75,1834782.875,,2458000.5,1.357919278,341.2186362,237.1733163,1.899484655,,,0.6228638749,,2,22,Low,,False
3348144,,Slow,63233.66755,39290.94193,0.4340489593,168.845047,64932800,40347372,,,0.9403258404,195.3700872,,1.313993469,2458097.467,255.1877435,1.080902491,1995,,22,Low,Low,False
3646046,,,,43000.29881,0.1020481263,39.69672394,,9485966,5.149,2458000.5,1.183993437,,55.21650962,1.479310862,2457816.155,141.0296512,,1995,2,22,Low,,True
3780693,,Very Slow,25790.93301,16025.48279,0.2115968709,82.31118774,31654442,,5.874,2458000.5,,,,1.363199477,2457901.624,92.63701924,,1995,2,22,Low,High,False
2162173,,Slow,,30368.83139,0.3507449112,136.4397736,52470692,32603776,5.308,,1.189560559,251.5911063,211.446774,1.415915205,2457797.751,154.0217068,0.759668711,,,8,Low,Low,True
3092312,794649600000,Slow,,25657.90969,0.0517703658,20.13867188,7744736.5,4812356.5,5.089,,,,292.6184517,1.763802986,2457751.689,178.6926558,,1995,3,8,,,False
3273782,794649600000,Slow,42950.31311,26687.65428,0.0975441157,37.944664,,,7.48,2455882.5,,352.9223652,,1.057832607,2455988.219,203.6522586,1.478900976,1995,3,8,Low,Low,False
3600106,794649600000,Very Slow,35546.91538,22087.47084,0.1466999837,,,13636615,5.349,2458000.5,,336.8735047,,1.446664836,2457796.516,,,1995,,8,Low,Medium,False
3684008,794649600000,Slow,57379.34578,35653.29405,0.1729029027,67.25922394,25865906,16072328,,2458000.5,1.442414905,151.7319137,97.07781957,2.073325675,,317.5623087,0.5689430173,1995,,8,Medium,Medium,False
3751815,794649600000,,,,,129.6083069,,30971322,6.708,2458000.5,0.8653553647,64.12627503,292.8831881,1.310067172,,140.1980047,,1995,3,8,Low,,False
2483656,794649600000,,42950.20292,26687.58581,0.0975437554,37.94451904,,9067258,7.48,2456125.5,0.7629535012,352.9209235,,1.057793118,,203.0327732,1.47896184,1995,,8,Low,Low,False
3182169,795254400000,Very Slow,13816.86035,8585.2597,,33.64254761,12937927,8039255,5.694,2458000.5,1.08505392,143.9720934,2.124647144,1.275511373,,343.2780838,0.8720213012,1995,3,15,Low,Low,False
2267221,795859200000,Slow,52742.18585,32771.9432,,191.9521637,,45869068,5.679,2458000.5,1.039069958,211.1661459,111.2704878,1.724513416,2458022.991,339.0708465,0.9305439521,,3,22,Low,,True
2382875,,,,16810.02469,0.4991803786,194.1811676,,46401716,,,1.298712854,42.77459458,283.6789059,,,282.4479213,,,3,22,Low,,False
2396793,795859200000,Slow,,32172.93271,0.4209661835,163.7558441,62975644,,,2458000.5,1.067729565,228.3483096,179.9055931,,2458175.962,,,,3,22,Low,Low,False
2419472,795859200000,Slow,59537.69736,36994.40978,0.3724623296,144.8878479,55719572,34622536,5.118,,,,,1.470259485,,196.5243824,0.7268940077,,3,22,Low,Low,True
3647009,795859200000,Very Slow,26420.907,16416.92413,0.071064889,27.64424133,,6605894,,2458000.5,,330.7831998,290.4836428,1.404419606,2457820.163,,,,,,Low,,False
3713321,,Very Slow,,,,153.0773468,58869008,36579508,4.698,2458000.5,1.408325756,158.2260558,28.4122282,1.725882064,2457721.451,,,1995,3,22,Low,Medium,False
3747315,795859200000,Fast,82168.66311,51056.41181,0.4729642584,183.9830933,70754448,,,2458000.5,0.8416315805,171.1772581,218.2204921,,2457932.079,87.33995138,1.276500647,1995,,22,Low,High,False
3771614,,,73347.20038,45575.09792,0.2243809656,,33566916,20857514,,2458000.5,1.235912133,356.5439055,,,,90.33855226,0.7173360885,1995,3,22,Low,,False
2312942,797324400000,Fast,,51360.00677,0.086732912,33.73910141,,8062327.5,,2458000.5,,,299.7393342,4.020893403,2458582.733,191.4543291,,1995,4,8,High,,False
3170221,797324400000,,27059.26388,16813.57427,,91.82387543,35312740,,,,0.9886678583,264.4056022,87.81644304,,2457942.407,58.24402434,,1995,,8,Low,,False
3601408,,,77525.04416,,0.4674758318,,69933392,43454592,,2458000.5,,190.8023227,16.17455003,3.251179614,,217.6120228,0.2919200641,1995,,,High,Low,False
3772759,797324400000,,48932.03858,,0.3228583667,125.5919037,48298924,30011560,5.916,,1.033210408,10.44411033,,,2458145.012,224.3796114,,1995,4,8,Low,Medium,False
3409964,797929200000,Very Slow,,,0.3826167269,148.8379059,,35566448,,2458000.5,1.052079403,,242.2931976,1.36371177,,,0.9133375153,1995,,15,Low,,True
3562320,797929200000,Slow,50728.33138,,0.2689702852,104.6294403,40237380,25002350,,,0.863323089,18.6394879,344.8005314,1.034788039,2458132.945,197.2654368,,,,15,Low,High,False
